Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
DE,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,NET.DE_BE,STA.DE_DEBE051,,SPO.DE_DEBE051_PM2_dataGroup3,SPP.DE_DEBE051_PM2_active_HVSauto30_gravi_Duration-1day_Cadence-2day,SAM.DE_DEBE051_2,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,48.5600000000,µg/m3,2017-01-01 00:00:00 +01:00,2017-01-02 00:00:00 +01:00,1,1
DE,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,NET.DE_BE,STA.DE_DEBE051,,SPO.DE_DEBE051_PM2_dataGroup3,SPP.DE_DEBE051_PM2_active_HVSauto30_gravi_Duration-1day_Cadence-2day,SAM.DE_DEBE051_2,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,7.6600000000,µg/m3,2017-01-03 00:00:00 +01:00,2017-01-04 00:00:00 +01:00,1,1
DE,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,NET.DE_BE,STA.DE_DEBE051,,SPO.DE_DEBE051_PM2_dataGroup3,SPP.DE_DEBE051_PM2_active_HVSauto30_gravi_Duration-1day_Cadence-2day,SAM.DE_DEBE051_2,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,15.1400000000,µg/m3,2017-01-07 00:00:00 +01:00,2017-01-08 00:00:00 +01:00,1,1
DE,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,NET.DE_BE,STA.DE_DEBE051,,SPO.DE_DEBE051_PM2_dataGroup3,SPP.DE_DEBE051_PM2_active_HVSauto30_gravi_Duration-1day_Cadence-2day,SAM.DE_DEBE051_2,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,25.6200000000,µg/m3,2017-01-09 00:00:00 +01:00,2017-01-10 00:00:00 +01:00,1,1
DE,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,NET.DE_BE,STA.DE_DEBE051,,SPO.DE_DEBE051_PM2_dataGroup3,SPP.DE_DEBE051_PM2_active_HVSauto30_gravi_Duration-1day_Cadence-2day,SAM.DE_DEBE051_2,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,6.4800000000,µg/m3,2017-01-13 00:00:00 +01:00,2017-01-14 00:00:00 +01:00,1,1
DE,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,NET.DE_BE,STA.DE_DEBE051,,SPO.DE_DEBE051_PM2_dataGroup3,SPP.DE_DEBE051_PM2_active_HVSauto30_gravi_Duration-1day_Cadence-2day,SAM.DE_DEBE051_2,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,15.3900000000,µg/m3,2017-01-19 00:00:00 +01:00,2017-01-20 00:00:00 +01:00,1,1
DE,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,NET.DE_BE,STA.DE_DEBE051,,SPO.DE_DEBE051_PM2_dataGroup3,SPP.DE_DEBE051_PM2_active_HVSauto30_gravi_Duration-1day_Cadence-2day,SAM.DE_DEBE051_2,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,26.3200000000,µg/m3,2017-02-04 00:00:00 +01:00,2017-02-05 00:00:00 +01:00,1,1
DE,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,NET.DE_BE,STA.DE_DEBE051,,SPO.DE_DEBE051_PM2_dataGroup3,SPP.DE_DEBE051_PM2_active_HVSauto30_gravi_Duration-1day_Cadence-2day,SAM.DE_DEBE051_2,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,26.5100000000,µg/m3,2017-02-06 00:00:00 +01:00,2017-02-07 00:00:00 +01:00,1,1
DE,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,NET.DE_BE,STA.DE_DEBE051,,SPO.DE_DEBE051_PM2_dataGroup3,SPP.DE_DEBE051_PM2_active_HVSauto30_gravi_Duration-1day_Cadence-2day,SAM.DE_DEBE051_2,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,29.5000000000,µg/m3,2017-02-08 00:00:00 +01:00,2017-02-09 00:00:00 +01:00,1,1
DE,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,NET.DE_BE,STA.DE_DEBE051,,SPO.DE_DEBE051_PM2_dataGroup3,SPP.DE_DEBE051_PM2_active_HVSauto30_gravi_Duration-1day_Cadence-2day,SAM.DE_DEBE051_2,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,47.6800000000,µg/m3,2017-02-12 00:00:00 +01:00,2017-02-13 00:00:00 +01:00,1,1
