Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
PT,PT.APA.AQ,NET-PT00002,STA-PT03082,,SPO-PT03082_06001_100,SPP-HVSman30_digitelHVS_1541,SPO_F-PT03082_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2013-01-01 00:00:00 +01:00,2013-01-02 00:00:00 +01:00,-1,1
PT,PT.APA.AQ,NET-PT00002,STA-PT03082,,SPO-PT03082_06001_100,SPP-HVSman30_digitelHVS_1541,SPO_F-PT03082_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,13.6000000000,µg/m3,2013-01-02 00:00:00 +01:00,2013-01-03 00:00:00 +01:00,1,1
PT,PT.APA.AQ,NET-PT00002,STA-PT03082,,SPO-PT03082_06001_100,SPP-HVSman30_digitelHVS_1541,SPO_F-PT03082_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,10.6000000000,µg/m3,2013-01-03 00:00:00 +01:00,2013-01-04 00:00:00 +01:00,1,1
PT,PT.APA.AQ,NET-PT00002,STA-PT03082,,SPO-PT03082_06001_100,SPP-HVSman30_digitelHVS_1541,SPO_F-PT03082_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2013-01-04 00:00:00 +01:00,2013-01-05 00:00:00 +01:00,-1,1
PT,PT.APA.AQ,NET-PT00002,STA-PT03082,,SPO-PT03082_06001_100,SPP-HVSman30_digitelHVS_1541,SPO_F-PT03082_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2013-01-05 00:00:00 +01:00,2013-01-06 00:00:00 +01:00,-1,1
PT,PT.APA.AQ,NET-PT00002,STA-PT03082,,SPO-PT03082_06001_100,SPP-HVSman30_digitelHVS_1541,SPO_F-PT03082_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2013-01-06 00:00:00 +01:00,2013-01-07 00:00:00 +01:00,-1,1
PT,PT.APA.AQ,NET-PT00002,STA-PT03082,,SPO-PT03082_06001_100,SPP-HVSman30_digitelHVS_1541,SPO_F-PT03082_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,26.6000000000,µg/m3,2013-01-07 00:00:00 +01:00,2013-01-08 00:00:00 +01:00,1,1
PT,PT.APA.AQ,NET-PT00002,STA-PT03082,,SPO-PT03082_06001_100,SPP-HVSman30_digitelHVS_1541,SPO_F-PT03082_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,7.2999999900,µg/m3,2013-01-08 00:00:00 +01:00,2013-01-09 00:00:00 +01:00,1,1
PT,PT.APA.AQ,NET-PT00002,STA-PT03082,,SPO-PT03082_06001_100,SPP-HVSman30_digitelHVS_1541,SPO_F-PT03082_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,12.1999999900,µg/m3,2013-01-09 00:00:00 +01:00,2013-01-10 00:00:00 +01:00,1,1
PT,PT.APA.AQ,NET-PT00002,STA-PT03082,,SPO-PT03082_06001_100,SPP-HVSman30_digitelHVS_1541,SPO_F-PT03082_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,25.1999999900,µg/m3,2013-01-10 00:00:00 +01:00,2013-01-11 00:00:00 +01:00,1,1
PT,PT.APA.AQ,NET-PT00002,STA-PT03082,,SPO-PT03082_06001_100,SPP-HVSman30_digitelHVS_1541,SPO_F-PT03082_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2013-01-11 00:00:00 +01:00,2013-01-12 00:00:00 +01:00,-1,1
PT,PT.APA.AQ,NET-PT00002,STA-PT03082,,SPO-PT03082_06001_100,SPP-HVSman30_digitelHVS_1541,SPO_F-PT03082_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2013-01-12 00:00:00 +01:00,2013-01-13 00:00:00 +01:00,-1,1
PT,PT.APA.AQ,NET-PT00002,STA-PT03082,,SPO-PT03082_06001_100,SPP-HVSman30_digitelHVS_1541,SPO_F-PT03082_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2013-01-13 00:00:00 +01:00,2013-01-14 00:00:00 +01:00,-1,1
PT,PT.APA.AQ,NET-PT00002,STA-PT03082,,SPO-PT03082_06001_100,SPP-HVSman30_digitelHVS_1541,SPO_F-PT03082_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2013-01-14 00:00:00 +01:00,2013-01-15 00:00:00 +01:00,-1,1
PT,PT.APA.AQ,NET-PT00002,STA-PT03082,,SPO-PT03082_06001_100,SPP-HVSman30_digitelHVS_1541,SPO_F-PT03082_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2013-01-15 00:00:00 +01:00,2013-01-16 00:00:00 +01:00,-1,1
