Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,8.0000000000,µg/m3,2018-01-03 00:00:00 +01:00,2018-01-04 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,17.0000000000,µg/m3,2018-01-09 00:00:00 +01:00,2018-01-10 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,13.0000000000,µg/m3,2018-01-12 00:00:00 +01:00,2018-01-13 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,9.0000000000,µg/m3,2018-01-15 00:00:00 +01:00,2018-01-16 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,12.0000000000,µg/m3,2018-01-18 00:00:00 +01:00,2018-01-19 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,18.0000000000,µg/m3,2018-01-24 00:00:00 +01:00,2018-01-25 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,10.0000000000,µg/m3,2018-01-30 00:00:00 +01:00,2018-01-31 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,3.0000000000,µg/m3,2018-02-02 00:00:00 +01:00,2018-02-03 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,5.0000000000,µg/m3,2018-02-08 00:00:00 +01:00,2018-02-09 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,8.0000000000,µg/m3,2018-02-11 00:00:00 +01:00,2018-02-12 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,5.0000000000,µg/m3,2018-02-14 00:00:00 +01:00,2018-02-15 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,17.0000000000,µg/m3,2018-02-17 00:00:00 +01:00,2018-02-18 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,8.0000000000,µg/m3,2018-02-23 00:00:00 +01:00,2018-02-24 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,14.0000000000,µg/m3,2018-02-26 00:00:00 +01:00,2018-02-27 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,3.0000000000,µg/m3,2018-03-07 00:00:00 +01:00,2018-03-08 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,6.0000000000,µg/m3,2018-03-13 00:00:00 +01:00,2018-03-14 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,7.0000000000,µg/m3,2018-03-22 00:00:00 +01:00,2018-03-23 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,7.0000000000,µg/m3,2018-03-28 00:00:00 +01:00,2018-03-29 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,4.0000000000,µg/m3,2018-04-03 00:00:00 +01:00,2018-04-04 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,10.0000000000,µg/m3,2018-04-06 00:00:00 +01:00,2018-04-07 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,4.0000000000,µg/m3,2018-04-12 00:00:00 +01:00,2018-04-13 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES131A,STA_ES1894A,,SP_28079045_9_M,SPP_28079045_9_M.1,SAM_28079045_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,5.0000000000,µg/m3,2018-04-15 00:00:00 +01:00,2018-04-16 00:00:00 +01:00,1,1
